DATE,TMAX,TMIN,PRCP
01-02-1981,27.11,9.76,0
02-02-1981,26.15,7.58,0
03-02-1981,29.38,7.83,0
04-02-1981,32.19,9.4,0
05-02-1981,32.01,14.85,0
06-02-1981,31.95,13.1,0
07-02-1981,31.33,11.25,0
08-02-1981,31.34,10.03,0
09-02-1981,29.66,9.94,0
10-02-1981,28.3,9.26,0
11-02-1981,30.31,8.24,0
12-02-1981,33.58,12.49,0
13-02-1981,33.9,12.22,0
14-02-1981,32.47,12.26,0.77
15-02-1981,33,13.72,0
16-02-1981,33.26,14.51,0
17-02-1981,33.79,15.19,0
18-02-1981,32.69,13.51,0
19-02-1981,33.93,14.72,0
20-02-1981,33.9,15.41,0
21-02-1981,34.07,14.9,0
22-02-1981,34.9,14.49,0
23-02-1981,35.42,16.32,0.43
24-02-1981,36.47,20.6,0.8
25-02-1981,35.73,17.07,0.1
26-02-1981,35.87,16.07,0
27-02-1981,35.87,17.51,0
28-02-1981,36.38,16.12,0
01-03-1981,34.98,17.34,0
02-03-1981,33.73,14.46,0
03-03-1981,34.4,14.48,0
04-03-1981,35.33,16.28,0
05-03-1981,36.5,18.91,0
06-03-1981,37.35,17.75,0
07-03-1981,36.21,18.4,0
08-03-1981,35.74,18.51,0
09-03-1981,35.91,18.37,0
10-03-1981,35.12,15.79,0
11-03-1981,34.08,16.23,0
12-03-1981,34.07,17.9,0.03
13-03-1981,34.15,17.17,0.11
14-03-1981,34.37,18.51,0
15-03-1981,28.39,18.24,2.49
16-03-1981,32.94,16.08,0.97
17-03-1981,35.67,17.57,0.85
18-03-1981,36.26,20.71,0.48
19-03-1981,35.36,21.03,1.87
20-03-1981,29.88,19.16,3.81
21-03-1981,33.5,16.01,0
22-03-1981,35.32,15.49,0
23-03-1981,33.88,14.12,0
24-03-1981,34.31,14.34,0
25-03-1981,35.15,15.96,0
26-03-1981,37.47,16.8,0
27-03-1981,39.11,19.22,0
28-03-1981,38.99,18.58,0.17
29-03-1981,40.68,20.83,0
30-03-1981,39.56,21.63,0.1
31-03-1981,38.63,21.98,0.86
01-04-1981,38.54,20.84,0.01
02-04-1981,39.48,21.57,0
03-04-1981,38.38,20.88,0
04-04-1981,39.13,19.31,0
05-04-1981,38.07,16.73,0
06-04-1981,38.62,16.18,0
07-04-1981,39.75,17.65,0
08-04-1981,40.43,19.26,0
09-04-1981,41.84,19.4,0
10-04-1981,42.39,20.24,0
11-04-1981,42.17,21.89,6.08
12-04-1981,43.43,21.34,0
13-04-1981,44.19,22.36,0
14-04-1981,44.51,22.94,0
15-04-1981,44,24.52,0
16-04-1981,43.24,23.39,0
17-04-1981,44.05,25.28,0
18-04-1981,43.85,25.08,0
19-04-1981,43.51,24.46,0
20-04-1981,43.32,25.73,0
21-04-1981,41.99,25.56,0
22-04-1981,40.58,24.75,0
23-04-1981,40.77,24.01,0.62
24-04-1981,41.84,23.3,0
25-04-1981,42.83,23.15,0
26-04-1981,42.89,23.01,0
27-04-1981,43.25,26.24,0
28-04-1981,39.78,25.95,0
29-04-1981,37,25.22,4.53
30-04-1981,35.43,23.06,8.9
01-05-1981,39,23.08,0.21
02-05-1981,39.89,22.44,0
03-05-1981,42.37,24.32,0.03
04-05-1981,42.26,25.98,0.09
05-05-1981,39.3,25.05,2.19
06-05-1981,40.24,23.44,2.82
07-05-1981,40.15,24.86,2.99
08-05-1981,40.09,24.43,0.52
09-05-1981,38.2,24.99,0.84
10-05-1981,39.73,25.12,0.15
11-05-1981,40.31,25.2,0.01
12-05-1981,41.99,27.34,0
13-05-1981,43.32,27.38,0
14-05-1981,43.65,28.15,0
15-05-1981,43.06,27.46,0
16-05-1981,43.78,27.24,1.52
17-05-1981,43.48,26.97,0.49
18-05-1981,43.11,26.99,0
19-05-1981,42.58,26.33,0
20-05-1981,42.98,25.83,0
21-05-1981,42.79,27.51,16.28
22-05-1981,41.27,26.04,0.67
23-05-1981,41.69,24.49,0
24-05-1981,41.7,23.65,0.29
25-05-1981,43.14,25.57,0
26-05-1981,43.52,26.8,0
27-05-1981,43.95,27.07,0
28-05-1981,42.97,27.08,0
29-05-1981,43.18,27.83,0
30-05-1981,44.4,27.39,0
31-05-1981,45.1,28.33,0
01-06-1981,44.4,28.4,0.08
02-06-1981,43.65,28.92,0.33
03-06-1981,43.74,27.49,0.02
04-06-1981,44.05,29.32,0.17
05-06-1981,44.48,27.62,0.19
06-06-1981,45.32,27.85,0
07-06-1981,44.87,27.19,0
08-06-1981,43.81,27.16,0
09-06-1981,43.8,26.27,0
10-06-1981,44.02,28.01,0.54
11-06-1981,42.15,30.37,1.54
12-06-1981,41.08,30.13,0.34
13-06-1981,42.79,28.54,0.01
14-06-1981,42.82,29.35,0
15-06-1981,43.01,28.49,0
16-06-1981,44.24,29.93,0
17-06-1981,45.26,27.94,0.06
18-06-1981,42.13,27.19,5.24
19-06-1981,42.24,27.02,4.19
20-06-1981,42.9,26.96,0.6
21-06-1981,42.58,27.72,0.33
22-06-1981,40.12,28.17,2.85
23-06-1981,33,25.47,28.44
24-06-1981,30.78,24.09,23.39
25-06-1981,30.98,23.94,11.37
26-06-1981,31.39,23.73,46.25
27-06-1981,33.03,24.28,2.18
28-06-1981,33.54,23.63,0.99
29-06-1981,32.69,23.82,0.87
30-06-1981,30.78,24.35,11.83
01-07-1981,31.09,23.91,7.87
02-07-1981,30.29,23.83,5.78
03-07-1981,31.67,23.94,1.27
04-07-1981,33.45,24.06,3.24
05-07-1981,33.23,24.05,2.18
06-07-1981,30.02,24.14,12.01
07-07-1981,31.69,23.15,17.43
08-07-1981,27.69,24.05,29.8
09-07-1981,30.3,23.53,9.41
10-07-1981,30.95,22.57,0.7
11-07-1981,31.94,23,2.12
12-07-1981,31.92,22.54,6.94
13-07-1981,30.23,23.26,8.09
14-07-1981,28.56,23.14,49.74
